kanji,meanings,kun,on,level
氏,"family name,surname,clan","うじ,-うじ",シ,n1
統,"overall,relationship,ruling,governing","す.べる,ほび.る",トウ,n1
第,"No.,residence","す.べる,ほび.る","ダイ,テイ",n1
派,"faction,group,party,clique,sect,school","す.べる,ほび.る",ハ,n1
挙,"raise,plan,project,behavior,actions","あ.げる,あ.がる,こぞ.る",キョ,n1
宮,"Shinto shrine,constellations,palace,princess",みや,"キュウ,グウ,ク,クウ",n1
策,"scheme,plan,policy,step,means",みや,サク,n1
提,"propose,take along,carry in hand",さ.げる,"テイ,チョウ,ダイ",n1
結,"tie,bind,contract,join,organize,do up hair,fasten","むす.ぶ,ゆ.う,ゆ.わえる","ケツ,ケチ",n1
井,"well,well crib,town,community",い,"セイ,ショウ",n1
保,"protect,guarantee,keep,preserve,sustain,support",たも.つ,"ホ,ホウ",n1
証,"evidence,proof,certificate",あかし,ショウ,n1
案,"plan,suggestion,draft,ponder,fear,proposition,idea,expectation,worry,table,bench",つくえ,アン,n1
護,"safeguard,protect",まも.る,ゴ,n1
態,"attitude,condition,figure,appearance,voice (of verbs)",わざ.と,タイ,n1
裁,"tailor,judge,decision,cut out (pattern)","た.つ,さば.く",サイ,n1
幹,"tree trunk,main part,talent,capability",みき,カン,n1
松,pine tree,まつ,ショウ,n1
佐,"assistant,help",まつ,サ,n1
票,"ballot,label,ticket,sign",まつ,ヒョウ,n1
衛,"defense,protection",まつ,"エイ,エ",n1
義,"righteousness,justice,morality,honor,loyalty,meaning",まつ,ギ,n1
昭,"shining,bright",まつ,ショウ,n1
士,"gentleman,scholar,samurai,samurai radical (no. 33)",さむらい,シ,n1
崎,"promontory,cape,spit","さき,さい,みさき",キ,n1
視,"inspection,regard as,see,look at",み.る,シ,n1
企,"undertake,scheme,design,attempt,plan","くわだ.てる,たくら.む",キ,n1
藤,wisteria,ふじ,"トウ,ドウ",n1
沢,"swamp,marsh,brilliance,grace","さわ,うるお.い,うるお.す,つや",タク,n1
基,"fundamentals,radical (chem),counter for machines,foundation","もと,もとい",キ,n1
隊,"regiment,party,company,squad","もと,もとい",タイ,n1
援,"abet,help,save","もと,もとい",エン,n1
価,"value,price",あたい,"カ,ケ",n1
施,"give,bestow,perform,alms",ほどこ.す,"シ,セ",n1
矢,"dart,arrow",や,シ,n1
株,"stocks,stump,shares,stock,counter for small plants",かぶ,シュ,n1
姿,"figure,form,shape",すがた,シ,n1
応,"apply,answer,yes,OK,reply,accept","あた.る,まさに,こた.える","オウ,ヨウ,-ノウ",n1
閣,"tower,tall building,palace","あた.る,まさに,こた.える",カク,n1
衆,"masses,great numbers,multitude,populace",おお.い,"シュウ,シュ",n1
鮮,"fresh,vivid,clear,brilliant,Korea",あざ.やか,セン,n1
整,"organize,arranging,tune,tone,meter,key (music)","ととの.える,ととの.う",セイ,n1
検,"examination,investigate",しら.べる,ケン,n1
織,"weave,fabric","お.る,お.り,おり,-おり,-お.り","ショク,シキ",n1
推,"conjecture,infer,guess,suppose,support,push (for)",お.す,スイ,n1
弁,"valve,petal,braid,speech,dialect,discrimination,dispose of,distinguish,conical cap","かんむり,わきま.える,わ.ける,はなびら,あらそ.う","ベン,ヘン",n1
紀,"chronicle,account,narrative,history,annals,geologic period","かんむり,わきま.える,わ.ける,はなびら,あらそ.う",キ,n1
討,"chastise,attack,defeat,destroy,conquer",う.つ,トウ,n1
博,"Dr.,command,esteem,win acclaim,Ph.D.,exposition,fair",う.つ,"ハク,バク",n1
監,"oversee,official,govt office,rule,administer",う.つ,カン,n1
審,"hearing,judge,trial","つまび.らか,つぶさ.に",シン,n1
素,"elementary,principle,naked,uncovered",もと,"ソ,ス",n1
憲,"constitution,law",もと,ケン,n1
激,"violent,get excited,enraged,chafe,incite",はげ.しい,ゲキ,n1
奈,"Nara,what?","いかん,からなし","ナ,ナイ,ダイ",n1
益,"benefit,gain,profit,advantage",ま.す,"エキ,ヤク",n1
系,"lineage,system",ま.す,ケイ,n1
訴,"accusation,sue,complain of pain,appeal to",うった.える,ソ,n1
功,"achievement,merits,success,honor,credit",いさお,"コウ,ク",n1
盟,"alliance,oath",いさお,メイ,n1
養,"foster,bring up,rear,develop,nurture",やしな.う,"ヨウ,リョウ",n1
街,"boulevard,street,town",まち,"ガイ,カイ",n1
刀,"sword,saber,knife","かたな,そり",トウ,n1
詩,"poem,poetry",うた,シ,n1
弓,"bow,bow (archeryviolin)",ゆみ,キュウ,n1
従,"accompany,obey,submit to,comply,follow,secondary,incidental,subordinate","したが.う,したが.える,より","ジュウ,ショウ,ジュ",n1
条,"article,clause,counter for articlesclausesparagraphsetc.,twig,item,stripe,streak","えだ,すじ","ジョウ,チョウ,デキ",n1
独,"single,alone,spontaneously,Germany",ひと.り,"ドク,トク",n1
興,"entertain,revive,retrieve,interest,pleasure","おこ.る,おこ.す","コウ,キョウ",n1
影,"shadow,silhouette,phantom",かげ,エイ,n1
沖,"open sea,offing,rise high into sky","おき,おきつ,ちゅう.する,わく",チュウ,n1
就,"concerning,settle,take position,depart,study,per","つ.く,つ.ける","シュウ,ジュ",n1
撃,"beat,attack,defeat,conquer",う.つ,ゲキ,n1
核,"nucleus,core,kernel",う.つ,カク,n1
厳,"stern,strictness,severity,rigidity","おごそ.か,きび.しい,いか.めしい,いつくし","ゲン,ゴン",n1
鹿,deer,"しか,か",ロク,n1
率,"ratio,rate,proportion,%,factor,lead,spearhead,command",ひき.いる,"ソツ,リツ,シュツ",n1
融,"dissolve,melt","と.ける,と.かす",ユウ,n1
郡,"county,district",こおり,グン,n1
遺,"bequeath,leave behind,reserve",のこ.す,"イ,ユイ",n1
丁,"street,ward,town,counter for gunstoolsleaves or cakes of something,even number,4th calendar sign",ひのと,"チョウ,テイ,チン,トウ,チ",n1
渉,"ford,go cross,transit,ferry,import,involve",わた.る,ショウ,n1
模,"imitation,copy,mock",わた.る,"モ,ボ",n1
響,"echo,sound,resound,ring,vibrate",ひび.く,キョウ,n1
張,"lengthen,counter for bows & stringed instruments,stretch,spread,put up (tent)","は.る,-は.り,-ば.り",チョウ,n1
汽,"vapor,steam","は.る,-は.り,-ば.り",キ,n1
宣,"proclaim,say,announce",のたま.う,セン,n1
請,"solicit,invite,ask","こ.う,う.ける","セイ,シン,ショウ",n1
器,"utensil,vessel,receptacle,implement,instrument,ability,container,tool,set",うつわ,キ,n1
典,"code,ceremony,law,rule",うつわ,"テン,デン",n1
展,"unfold,expand",うつわ,テン,n1
攻,"aggression,attack,criticize,polish",せ.める,コウ,n1
豆,"beans,pea,midget","まめ,まめ-","トウ,ズ",n1
盛,"boom,prosper,copulate","も.る,さか.る,さか.ん","セイ,ジョウ",n1
督,"coach,command,urge,lead,supervise","も.る,さか.る,さか.ん",トク,n1
催,"sponsor,hold (a meeting),give (a dinner)","もよう.す,もよお.す",サイ,n1
縄,"straw rope,cord","なわ,ただ.す",ジョウ,n1
皇,emperor,"なわ,ただ.す","コウ,オウ",n1
臨,"look to,face,meet,confront,attend,call on",のぞ.む,リン,n1
及,"reach out,exert,exercise,cause","およ.ぶ,およ.び,および,およ.ぼす",キュウ,n1
帳,"notebook,account book,album,curtain,veil,net,tent",とばり,チョウ,n1
熊,bear,くま,ユウ,n1
源,"source,origin",みなもと,ゲン,n1
離,"detach,separation,disjoin,digress","はな.れる,はな.す",リ,n1
創,"genesis,wound,injury,hurt,start,originate","つく.る,はじ.める,きず,けず.しける","ソウ,ショウ",n1
障,"hinder,hurt,harm",さわ.る,ショウ,n1
倉,"godown,warehouse,storehouse,cellar,treasury",くら,ソウ,n1
筋,"muscle,sinew,tendon,fiber,plot,plan,descent",すじ,キン,n1
唱,"chant,recite,call upon,yell",とな.える,ショウ,n1
摘,"pinch,pick,pluck,trim,clip,summarize",つ.む,テキ,n1
評,"evaluate,criticism,comment",つ.む,ヒョウ,n1
郎,"son,counter for sons",おとこ,"ロウ,リョウ",n1
属,"belong,genus,subordinate official,affiliated","さかん,つく,やから","ゾク,ショク",n1
健,"healthy,health,strength,persistence",すこ.やか,ケン,n1
級,"class,rank,grade",すこ.やか,キュウ,n1
旗,"national flag,banner,standard",はた,キ,n1
潟,lagoon,"かた,-がた",セキ,n1
製,"made in...,manufacture","かた,-がた",セイ,n1
災,"disaster,calamity,woe,curse,evil",わざわ.い,サイ,n1
密,"secrecy,density (pop),minuteness,carefulness",ひそ.か,ミツ,n1
振,"shake,wave,wag,swing","ふ.る,ふ.れる,ふ.るう",シン,n1
梅,plum,うめ,バイ,n1
我,"ego,I,selfish,our,oneself","われ,わ,わ.が-,わが-",ガ,n1
幕,"curtain,bunting,act of play",とばり,"マク,バク",n1
染,"dye,color,paint,stain,print","そ.める,そ.まる,し.みる,し.み",セン,n1
銭,"coin,.01 yen,money","ぜに,すき","セン,ゼン",n1
